contemporaries^temporaries,contemporaries
counterproposals(0)^counterproposals(1),counterproposals(0)^counterproposals(1)
entomology^epistemology^etymology(0)^ophthalmology(0)^ophthalmology(1),entomology^etymology(0)^ophthalmology(0)^ophthalmology(1)
insufficiently^sufficiently,insufficiently
lauretarian^majoritarian^totalitarian,lauretarian
acrimonious^parsimonious^sanctimonious^unceremonious,acrimonious^parsimonious^sanctimonious
mysteriously(0)^seriously,mysteriously(0)
corporatism^separatism,corporatism^separatism
misunderstandings^understandings,misunderstandings
magisterial^ministerial,magisterial^ministerial
expressivity^passivity,expressivity
conspiratorial^curatorial^dictatorial^editorial^equatorial^gubernatorial^nomenclatorial^senatorial,curatorial^dictatorial^editorial^equatorial^senatorial
confrontational^representational,confrontational
institutionalizes^marginalizes^nationalizes(0)^personalizes,marginalizes^nationalizes(0)^personalizes
prototypical^stereotypical(1),prototypical
circularizing^popularizing,circularizing^popularizing
botanically(0)^frantically(2),botanically(0)
depressurizes^pressurizes,depressurizes
emotionalism(0)^emotionalism(1)^factionalism^internationalism(0)^internationalism(1)^nationalism^professionalism^sensationalism,factionalism^nationalism
anticipated(1)^dissipated^participated(1)^unanticipated,anticipated(1)^participated(1)
journalistically(1)^realistically^ritualistically(1)^unrealistically,journalistically(1)^realistically
capacity(0)^incapacity^overcapacity,incapacity
counterbalancing(0)^counterbalancing(1),counterbalancing(0)^counterbalancing(1)
diversifying(0)^diversifying(1),diversifying(0)^diversifying(1)
archaeologists(1)^cardiologists(1)^epidemiologists(1)^geologists(1)^ideologists(1)^radiologists(1)^sociologists(1),archaeologists(1)^cardiologists(1)^ideologists(1)^radiologists(1)^sociologists(1)
halogenated^hydrogenated(0),halogenated^hydrogenated(0)
abbreviations^deviations,abbreviations
ophthalmologists(0)^ophthalmologists(2),ophthalmologists(0)^ophthalmologists(2)
telecommuter's^telecommuters,telecommuter's^telecommuters
inoperable^operable,inoperable
peleponnesian^peloponnesian,peleponnesian^peloponnesian
association(0)^dissociation,association(0)^dissociation
denunciation^pronunciation(0)^pronunciation(1)^renunciation,denunciation^pronunciation(0)^pronunciation(1)^renunciation
articulating^matriculating,articulating^matriculating
invariable^variable,invariable
retaliated(0)^retaliated(1),retaliated(0)^retaliated(1)
axiomatic^idiomatic,axiomatic^idiomatic
erroneously^harmoniously^unceremoniously,erroneously^harmoniously
discriminating^eliminating^incriminating,discriminating^eliminating^incriminating
collaborating^elaborating,collaborating^elaborating
antithetical^hypothetical(1),antithetical^hypothetical(1)
ability^acceptability^adaptability^admissibility^affordability^amiability^applicability^availability(0)^capability^combinability(0)^combinability(1)^compatibility^comprehensibility^debility^deductibility^electability^feasibility^flexibility^inaccessibility^invisibility^irresponsibility^irritability^legibility^malleability^overwhelmability(0)^overwhelmability(1)^palatability^possibility^probability^rehability(0)^rehability(1)^reliability^responsibility^susceptibility^viability,capability^feasibility^flexibility^legibility^possibility^probability^rehability(0)^rehability(1)^viability
ecuadorean^ecuadorian,ecuadorean^ecuadorian
particularly(0)^particularly(1),particularly(0)^particularly(1)
conformational^informational(0)^transformational,conformational^informational(0)^transformational
anticipated(0)^participated(0),anticipated(0)^participated(0)
authorization^colorization^demilitarization^denuclearization^mischaracterization^pasteurization^polarization(0)^polymerization^popularization^vaporization,authorization^colorization^pasteurization^polarization(0)^vaporization
disintegrating^integrating(0),disintegrating
disintegration(1)^integration(1),disintegration(1)
eliminations^recriminations,eliminations^recriminations
communication^excommunication^miscommunication,communication
reverberated(0)^reverberated(2),reverberated(0)^reverberated(2)
facilitator^rehabilitator,facilitator
declaratory^preparatory(0),declaratory^preparatory(0)
illiquidity^liquidity(1),illiquidity
agricultural(1)^nonagricultural,agricultural(1)
conservativism^negativism^positivism^relativism,negativism^positivism^relativism
additional(0)^nontraditional^traditional^untraditional,nontraditional^untraditional
familiarity^unfamiliarity,familiarity
assimilating^immolating,assimilating
compartmentalize^departmentalize(0),compartmentalize^departmentalize(0)
militarism^monetarism,militarism^monetarism
curiosity^religiosity,curiosity
denunciations^pronunciations(0)^pronunciations(1),denunciations^pronunciations(0)^pronunciations(1)
negotiator(0)^negotiator(1),negotiator(0)^negotiator(1)
communicate^excommunicate^miscommunicate,excommunicate^miscommunicate
invalidation^validation,invalidation
nitroglycerin(1)^nitroglycerin(2)^nitroglycerine(1)^nitroglycerine(2),nitroglycerin(1)^nitroglycerin(2)^nitroglycerine(1)^nitroglycerine(2)
redistributed(0)^undistributed,redistributed(0)^undistributed
carboniferous^coniferous,carboniferous
depilatory^dilatory,depilatory
coordinated^subordinated^uncoordinated,coordinated^subordinated
destabilizing^stabilizing,destabilizing
palestinian's^palestinians,palestinian's^palestinians
hermetically(0)^magnetically(0)^parenthetically(0)^pathetically(0)^sympathetically(0)^theoretically(0),hermetically(0)^magnetically(0)^pathetically(0)
ophthalmologists(1)^ophthalmologists(3),ophthalmologists(1)^ophthalmologists(3)
annihilation^violation,annihilation
juxtapositions^suppositions,juxtapositions
acidification^amplification^certification^cladification^clarification^classification^codification^decertification^deification^disqualification^diversification(0)^diversification(1)^edification^falsification^fortification^gasification^gratification^identification(0)^identification(1)^intensification^justification^magnification^modification^notification^nullification^ossification^pacification^personification^purification^qualification^ramification^ratification^recertification^reclassification^rectification^reunification^russification(0)^russification(1)^sanctification^saponification^suffocation^unification^verification^vilification,amplification^certification^cladification^clarification^classification^codification^deification^edification^falsification^fortification^gasification^gratification^justification^magnification^modification^notification^nullification^ossification^pacification^purification^qualification^ramification^ratification^rectification^russification(0)^russification(1)^sanctification^unification^verification^vilification
anticipating^dissipating^participating,anticipating^participating
preservationists(1)^reservationists(1),preservationists(1)^reservationists(1)
campopiano^foppiano,campopiano
connotational^invitational,connotational^invitational
invigorating^reinvigorating,invigorating
aviano^ottaviano^saviano,ottaviano
disestablishment^establishment(0),disestablishment
confabulation^tabulation,confabulation
agrarianism^antidisestablishmentarianism^arianism^authoritarianism^egalitarianism^nestorianism^parliamentarianism(0)^sectarianism^totalitarianism^vegetarianism,arianism
america's^americas^americas'^america's^americas^bankamerica's^coastamerica's^transamerica's^westamerica's,bankamerica's^coastamerica's^transamerica's^westamerica's
determination^extermination^germination^self-determination^termination,determination^extermination
proficiency^self-sufficiency^sufficiency,self-sufficiency
anthropology^apology,anthropology
interventionists(0)^interventionists(1),interventionists(0)^interventionists(1)
conservatories^observatories^observatory's,conservatories^observatories^observatory's
allocating^misallocating^reallocating,misallocating^reallocating
cooperation(0)^cooperation(1)^operation,cooperation(0)
intellectual(0)^intellectual(1),intellectual(0)^intellectual(1)
initiated(1)^uninitiated^uninitiated,initiated(1)
evaluating(0)^evaluating(1)^reevaluating,evaluating(0)^evaluating(1)
communications^communications'^telecommunications^telecommunications',communications^communications'
representative(1)^unrepresentative,representative(1)
expressionism^impressionism,expressionism^impressionism
obliterating^reiterating,obliterating^reiterating
stephanopoulos^stephanopoulos',stephanopoulos^stephanopoulos'
invalidated(0)^validated,invalidated(0)
cooperating^operating(0),cooperating
counterattacking(0)^counterattacking(1),counterattacking(0)^counterattacking(1)
dramatizations^privatizations,dramatizations^privatizations
nonprofessionals^professionals^professionals',nonprofessionals
representative's^representative's^representatives(3),representative's^representative's^representatives(3)
associated(0)^disassociated(1),associated(0)
egomaniac^megalomaniac^nymphomaniac(1),egomaniac^nymphomaniac(1)
beethovenian^slovenian,beethovenian
authorizations^mischaracterizations,authorizations
substantiated(0)^unsubstantiated,substantiated(0)
demilitarized^militarized,demilitarized
amphitheater^amphitheatre,amphitheater^amphitheatre
interruptible(0)^interruptible(1),interruptible(0)^interruptible(1)
cohabitation^habitation^inhabitation,cohabitation^inhabitation
irradiated^radiated(1),irradiated
military(0)^nonmilitary^paramilitary,nonmilitary
astrophotography^chromatography^cinematography^photography,chromatography
bicentennial^centennial,bicentennial
oregonian^patagonian,oregonian^patagonian
finanziaria^fondiaria^inmobiliaria,fondiaria
demobilizing^immobilizing^mobilizing,demobilizing^immobilizing
counteroffensive(0)^counteroffensive(1),counteroffensive(0)^counteroffensive(1)
semiconductor's^semiconductors^semiconductor's^semiconductors^semiconductor's^semiconductors,semiconductor's^semiconductors^semiconductor's^semiconductors^semiconductor's^semiconductors
materialize^serialize,materialize
microgenesys^organogenesis,microgenesys
abbreviated(1)^alleviated(1)^deviated,abbreviated(1)^alleviated(1)
interchangeably(0)^interchangeably(1),interchangeably(0)^interchangeably(1)
controversial^noncontroversial^uncontroversial,noncontroversial^uncontroversial
appreciated^depreciated^unappreciated,appreciated^depreciated
determination's^determinations,determination's^determinations
juxtaposition^presupposition^supposition,juxtaposition^presupposition
impresario^presario,impresario
federalizing(0)^generalizing(0)^liberalizing(0)^naturalizing(0),federalizing(0)^generalizing(0)^liberalizing(0)^naturalizing(0)
manufacturers'^manufacturer's^manufacturers,manufacturers'^manufacturer's^manufacturers
detoxication^intoxication,detoxication^intoxication
activity(1)^hyperactivity^inactivity^interactivity(0)^interactivity(1)^retroactivity,inactivity
etiologies^ideologies,etiologies^ideologies
coincidences^incidences,coincidences
momentarily^voluntarily,momentarily^voluntarily
climatologists(2)^climatologists(3)^dermatologists(2)^sovietologists(2),climatologists(2)^climatologists(3)^dermatologists(2)
misinterpreting^reinterpreting,misinterpreting^reinterpreting
industriale^industriali,industriale^industriali
analytically^geopolitically,analytically
exfoliation^foliation,exfoliation
classifiable^identifiable(0)^identifiable(1)^justifiable^verifiable,classifiable^justifiable^verifiable
affiliation^conciliation^humiliation^reaffiliation^reconciliation,affiliation^conciliation^humiliation
climatologist(0)^climatologist(1)^dermatologist^sovietologist,climatologist(0)^climatologist(1)^dermatologist
diagrammatic^epigrammatic,diagrammatic^epigrammatic
postretirement^retirement(0),postretirement
misrepresented(0)^represented(1)^underrepresented^unrepresented,misrepresented(0)^unrepresented
agrochemicals^petrochemicals,agrochemicals^petrochemicals
appropriating^misappropriating,appropriating
cogenerated^degenerated^generated(1)^regenerated^venerated,cogenerated^degenerated^regenerated
evacuating(0)^evacuating(1),evacuating(0)^evacuating(1)
demographically^geographically(1),demographically^geographically(1)
annihilating^violating,annihilating
napolitano^politano,napolitano
hysterectomies^hysterectomy,hysterectomies^hysterectomy
identifying(0)^misidentifying(0),identifying(0)
electromagnetic^ferromagnetic^geomagnetic,ferromagnetic^geomagnetic
instantiation^substantiation(1),instantiation^substantiation(1)
creationism^isolationism,creationism
assassinated^fascinated(0),assassinated
antidiscrimination(0)^antidiscrimination(1)^discrimination^elimination^incrimination,discrimination^elimination^incrimination
counterterrorist(0)^counterterrorist(1),counterterrorist(0)^counterterrorist(1)
annihilated^violated,annihilated
banalities^nationalities^personalities,nationalities^personalities
compartmentalized^departmentalized(0),compartmentalized^departmentalized(0)
articulated^matriculated,articulated^matriculated
azerbaijanis(0)^azerbaijanis(1),azerbaijanis(0)^azerbaijanis(1)
diantonio^marcantonio,diantonio^marcantonio
crematoria^moratoria,crematoria^moratoria
defamatory^inflammatory,defamatory^inflammatory
directorial(0)^directorial(1)^directorial(2)^directorial(3),directorial(0)^directorial(1)^directorial(2)^directorial(3)
constitutional^unconstitutional,constitutional
centenarians^seminarians^veterinarians^veterinarians,centenarians^seminarians
predominantly^prominently,predominantly
competitive(0)^noncompetitive^uncompetitive,noncompetitive^uncompetitive
debilitate^rehabilitate(0)^rehabilitate(1),rehabilitate(0)^rehabilitate(1)
additionally(0)^conditionally(0)^nutritionally(0)^traditionally(0)^unconditionally(0),additionally(0)^conditionally(0)^nutritionally(0)^traditionally(0)
apologetic^unapologetic,apologetic
deliberation^liberation,deliberation
economizing(0)^economizing(1),economizing(0)^economizing(1)
disciplinary^interdisciplinary,disciplinary
internationally(0)^internationally(2)^irrationally(0)^nationally(0)^rationally(0),irrationally(0)
activated(1)^deactivated^inactivated,deactivated^inactivated
economizes(0)^economizes(1),economizes(0)^economizes(1)
interventionist(0)^interventionist(1),interventionist(0)^interventionist(1)
depopulation(0)^depopulation(1),depopulation(0)^depopulation(1)
alliterative(1)^iterative,alliterative(1)
nationalistic(0)^sensationalistic,nationalistic(0)
initiated(0)^officiated,initiated(0)^officiated
irradiation^radiation,irradiation
deregulation^overregulation^regulation^reregulation,deregulation^reregulation
preliminaries(0)^preliminaries(1),preliminaries(0)^preliminaries(1)
conventionally^intentionally,conventionally^intentionally
apollonian^babylonian,apollonian^babylonian
denationalized^internationalized(0)^internationalized(1)^nationalized(0)^rationalized,denationalized
depositary(0)^depositary(1),depositary(0)^depositary(1)
criticality^theatricality,criticality
enthusiastic^unenthusiastic,enthusiastic
gynecology^pharmacology,gynecology^pharmacology
dermatologists(1)^sovietologists(1),dermatologists(1)
hydroelectric^photoelectric,hydroelectric^photoelectric
ambulatory^articulatory^circulatory^congratulatory^deregulatory^oscillatory^regulatory,ambulatory^circulatory^oscillatory^regulatory
auditorium^crematorium^moratorium,auditorium^crematorium^moratorium
methodically(0)^periodically(0),methodically(0)
incorporated(1)^unincorporated,incorporated(1)
extraterritorial^janitorial^territorial,janitorial^territorial
desegregation(0)^desegregation(1)^segregation,desegregation(0)^desegregation(1)
clarifications^justifications,clarifications^justifications
representatives'^representatives',representatives'^representatives'
abnormalities^formalities,abnormalities
annapolis's^indianapolis's^minneapolis's,annapolis's
disingenuous^ingenuous,disingenuous
evangelism(0)^evangelism(1),evangelism(0)^evangelism(1)
argumentation^documentation(0)^implementation^instrumentation^ornamentation^regimentation,argumentation^documentation(0)^implementation^instrumentation^ornamentation^regimentation
anthropologists(0)^apologists(0),anthropologists(0)
materialized^serialized,materialized
agoraphobia^claustrophobia^homophobia^xenophobia,claustrophobia^homophobia^xenophobia
evaluated(0)^evaluated(1),evaluated(0)^evaluated(1)
allocation^misallocation^reallocation,misallocation^reallocation
countercultural(0)^countercultural(1)^intercultural,countercultural(0)^countercultural(1)^intercultural
deliberating^liberating,deliberating
demodulation^modulation,demodulation
indianians^louisianians,indianians
caltabiano^fabiano,caltabiano
