bodeguita(1)^raghida,bodeguita(1)
anthologies^apologies^biology's^biotechnologies^biotechnology's^chronologies^doxologies^electrobiology's^etiologies^ideologies^methodologies^otologies^pathologies^polytechnologies^technologies^technologies'^technology's,anthologies^apologies^biology's^chronologies^doxologies^otologies^pathologies^technologies^technologies'^technology's
evangelist(0)^evangelist(2)^televangelist,evangelist(0)^evangelist(2)
penultimate^ultimate,penultimate
aviaries^beneficiaries^beneficiary's^fiduciares(1)^fiduciaries^intermediaries(0)^intermediaries(1)^subsidiaries^subsidiaries'^subsidiary's,aviaries
informatic(0)^sensormatic,informatic(0)^sensormatic
negotiable^sociable,negotiable
aronowitz^bonawitz^chronowitz,aronowitz
demetrius^dimitrius^dimitrius',demetrius^dimitrius^dimitrius'
dukakis'(1)^dukakises^dukakis's,dukakis'(1)^dukakises^dukakis's
auditioning^commissioning^conditioning^decommissioning^partitioning^petitioning^positioning^reconditioning(0)^repositioning^transitioning,auditioning^commissioning^conditioning^partitioning^petitioning^positioning^transitioning
filipino^jalapeno(1)^philippino,filipino^jalapeno(1)^philippino
fenstermacher^pulvermacher^radermacher,fenstermacher^pulvermacher^radermacher
abdominal(0)^abdominal(1)^nominal^phenomenal,abdominal(0)^abdominal(1)^phenomenal
boccio^dicioccio^moccio^saccoccio,dicioccio^saccoccio
chronically(1)^electronically(1)^ironically^sardonically(1),ironically^sardonically(1)
lackawanna^marijuana,lackawanna^marijuana
brightening(0)^enlightening(0)^frightening(0)^heightening(0)^lightening^tightening(0),enlightening(0)
intercepting(0)^intercepting(1),intercepting(0)^intercepting(1)
custodial^pseudopodial,custodial
competitors^competitors'^competitors,competitors^competitors'^competitors
serafine^serafini^seraphine,serafine^serafini^seraphine
conveniently^leniently,conveniently
evocative^provocative,evocative^provocative
borowski^ciborowski^jaworowski^kaczorowski^komorowski^kurowski^mazurowski^turowski^zaborowski,ciborowski^jaworowski^kaczorowski^komorowski^mazurowski^zaborowski
binomial^polynomial,binomial
chavarria^echavarria^larrea,chavarria
articulated^calculated(0)^circulated(0)^correlated^crenelated^flagellated^formulated(0)^immolated^innoculated^insulated(0)^isolated(0)^matriculated^mutilated(0)^oscillated^percolated^populated^regulated(0)^speculated(0)^stimulated(0)^undulated,calculated(0)^circulated(0)^correlated^crenelated^flagellated^formulated(0)^immolated^insulated(0)^isolated(0)^mutilated(0)^oscillated^percolated^populated^regulated(0)^speculated(0)^stimulated(0)^undulated
bradycardia(0)^bradycardia(1)^cardia^gardea^guardia^la-guardia^laguardia^procardia,la-guardia^laguardia^procardia
disabato^sabato,disabato
exportable^insupportable^portable^reportable^supportable^transportable^unsupportable,exportable^reportable^supportable^transportable
fashionably^personably^reasonably^unquestionably^unreasonably^unseasonably,fashionably^personably^reasonably
counterbalanced(0)^counterbalanced(1),counterbalanced(0)^counterbalanced(1)
anonymous^autonomous^synonymous,anonymous^autonomous^synonymous
herculean^julian(0)^julien^st_julien^yulian,herculean^st_julien
comicopia^cornucopia^dinotopia^ethiopia^fruitopia^hyperopia^myopia^tropea^utopia,fruitopia^myopia^utopia
approximate(0)^proximate,approximate(0)
cinelli^dominelli(0)^dominelli(1)^finelli^marinelli^minelli^minnelli^pinelli^spinelli,dominelli(0)^dominelli(1)^marinelli
collaborate^elaborate(1),collaborate^elaborate(1)
automatically(0)^automatically(1)^democratically^diplomatically^dogmatically^dramatically(0)^ecstatically^emphatically(0)^erratically^fanatically(1)^mathematically(1)^pragmatically(1)^systematically^thematically^undiplomatically,dogmatically^dramatically(0)^ecstatically^emphatically(0)^erratically^fanatically(1)^pragmatically(1)^thematically
ciriaco^fiacco,ciriaco
reentering^splintering,reentering
creating^procreating^recreating(1),procreating^recreating(1)
diversified(0)^diversified(1),diversified(0)^diversified(1)
fruition^intuition^tuition,intuition
restrictiveness^vindictiveness,restrictiveness^vindictiveness
appointment^disappointment^reappointment,disappointment^reappointment
demobilize^globalize^immobilize^mobilize,demobilize^immobilize
immediate^remediate(0),immediate^remediate(0)
bituminous^humanists(2)^luminous^voluminous,bituminous^voluminous
californian's^californians,californian's^californians
felicitous^solicitous,felicitous^solicitous
preventatives^representatives(0)^representatives(1),preventatives
horatio's^ratios,horatio's
almeria^gurria^honoria^sumeria,almeria^honoria^sumeria
christianity's^humanities(0)^humanities(1)^humanity's(0)^humanity's(1),humanities(0)^humanities(1)^humanity's(0)^humanity's(1)
intangible^tangible,intangible
classicism^criticism^cynicism^eroticism^gnosticism^lyricism^mysticism^narcissism^skepticism,classicism^criticism^cynicism^gnosticism^lyricism^mysticism^narcissism^skepticism
counterattack(0)^counterattack(1),counterattack(0)^counterattack(1)
apparitions^rhetoricians,apparitions^rhetoricians
chronically(0)^clinically(0)^comically(0)^critically(0)^cynically(0)^diametrically(0)^dramatically(1)^electrically(0)^electronically(0)^emphatically(1)^empirically(0)^ethically(0)^fanatically(0)^forensically(1)^geographically(0)^hermetically(0)^historically(0)^intrinsically(0)^journalistically(0)^magically(0)^magnetically(0)^majestically(0)^mathematically(0)^medically(1)^methodically(0)^metrically^mineralogically(0)^optimistically(0)^parenthetically(0)^pathetically(0)^periodically(0)^philosophically(0)^physically(0)^politically(0)^pragmatically(0)^ritualistically(0)^romantically(0)^sardonically(0)^scientifically(0)^skeptically(0)^statistically(0)^surgically(0)^symbolically(0)^sympathetically(0)^tactically^technically(0)^technologically(0)^theatrically(0)^theoretically(0)^therapeutically(0)^typically(1)^uncritically(0),chronically(0)^clinically(0)^comically(0)^critically(0)^cynically(0)^ethically(0)^magically(0)^medically(1)^metrically^physically(0)^skeptically(0)^surgically(0)^tactically^technically(0)^typically(1)
golembiewski^kaniewski(0)^korzeniewski(0)^okoniewski(0)^sypniewski(0)^wisniewski,kaniewski(0)^sypniewski(0)^wisniewski
diarrheas^galerias^maria's^pizzerias^urias,diarrheas^galerias^pizzerias
giacone^iannaccone^iannacone^morricone(1),giacone^morricone(1)
antonetti^bonetti^simonetti,antonetti^simonetti
enormously(0)^enormously(1),enormously(0)^enormously(1)
astronomy^autonomy(0)^autonomy(1)^economy(0)^economy(1)^gastronomy^ideonomy,astronomy^autonomy(0)^autonomy(1)^economy(0)^economy(1)^gastronomy
equality^frivolity^inequality(0)^inequality(1)^inequality(2)^polity^quality,equality^frivolity
avery^bravery^lavery^savery^savory^slavery^unsavory^zavery,unsavory
experimental(1)^temperamental(1),experimental(1)^temperamental(1)
haliburton^halliburton,haliburton^halliburton
diminishing^finishing^photofinishing^refinishing,diminishing^refinishing
algerian^assyrian^berberian^biospherian^criterion^derderian^hanoverian^hyperion^iberian^illyrian^liberian^nigerian^presbyterian(0)^presbyterian(1)^quirion^shakespearean^siberian^syrian^thraco-illyrian^valerian^zairian,algerian^assyrian^berberian^criterion^derderian^hyperion^iberian^illyrian^liberian^nigerian^shakespearean^siberian^valerian^zairian
appropriators^aviators^conciliator's^gladiators^initiators^mediators^negotiators'^negotiator's^negotiators^radiators,aviators^gladiators^mediators^radiators
disappointed(1)^reappointed(1),disappointed(1)^reappointed(1)
amalfitano^capitano^garritano^napolitano^politano^reitano,capitano^garritano^politano^reitano
impressionists(0)^secessionists(0),impressionists(0)^secessionists(0)
burying^carrying(1)^dairying^ferrying^marrying^remarrying^varying,remarrying
octahedron^tetrahedron,octahedron^tetrahedron
batavia(1)^flavia,batavia(1)
characteristic^coloristic^futuristic^militaristic^terroristic^uncharacteristic,coloristic^futuristic^terroristic
decisiveness^divisiveness,decisiveness^divisiveness
esperanto^maranto^taranto,esperanto
conceivably^irretrievably^unbelievably,conceivably
uncontested^untested,uncontested
connection^disconnection^interconnection,disconnection
molano^ortolano^solano,ortolano
autopacific^nonspecific^pacific^specific(0)^transpacific,nonspecific^transpacific
predecessor's^predecessors,predecessor's^predecessors
alligator^instigator^interrogator^investigator^irrigator^litigator^navigator,alligator^instigator^irrigator^litigator^navigator
dunkelberger^dunkleberger^eagleburger^eichelberger^heidelberger^himmelberger^kindleberger,dunkelberger^dunkleberger^eagleburger^eichelberger^heidelberger^himmelberger^kindleberger
fricano^marsicano^pellicano,marsicano^pellicano
persecutors^prosecutors',persecutors^prosecutors'
aurelio^delio^paleo,aurelio
overpayment^underpayment,overpayment^underpayment
hestia^izvestia^nestea,izvestia
channeling(0)^dismantling(1)^empaneling(0)^paneling,dismantling(1)^empaneling(0)
andreoni^monteleone,andreoni
grzesiak^lesiak,grzesiak
exceedingly^misleadingly,exceedingly^misleadingly
intersected(0)^intersected(1),intersected(0)^intersected(1)
deemphasize^emphasize^overemphasize^reemphasize,deemphasize^reemphasize
efficacious^perspicacious,efficacious^perspicacious
clamoring^enamoring^hammering,enamoring
disintegrating^emigrating^integrating(0)^integrating(1),emigrating^integrating(0)^integrating(1)
antolini^bartolini^bertolini^coline^mussolini^nicoline^nicolini^paolini^ugolini,antolini^bartolini^bertolini^mussolini^nicoline^nicolini^paolini^ugolini
aphrodite's^aphrodites,aphrodite's^aphrodites
algorithms^logarithms,algorithms^logarithms
allocate^misallocate^reallocate^unallocate,misallocate^reallocate^unallocate
coolio(0)^dejulio^digiulio^getulio^giulio^julio(0)^julio(1)^pouliot^puleo^tullio,dejulio^digiulio^getulio
aliyah^amalea^bramalea^hialeah^rosalia^valea,amalea^bramalea^hialeah^rosalia
cinderella^corella^marella^perella^vaccarella,cinderella^vaccarella
federalist(0)^generalist,federalist(0)^generalist
homogeny^ontogeny^phylogeny^progeny,homogeny^ontogeny^phylogeny
consistently^insistently^persistently,consistently^insistently^persistently
commissaries^emissaries,commissaries^emissaries
barcelona^ilona,barcelona
assurances(0)^insurance's^insurances^reassurances(1),assurances(0)^insurance's^insurances
unabomber's^unabombers,unabomber's^unabombers
ethiopian^fallopian^hagopian^utopian,fallopian^hagopian^utopian
presumably(0)^presumably(1)^presumably(2),presumably(0)^presumably(1)^presumably(2)
amicable^impracticable^inapplicable^inextricable,amicable
overpaying^underpaying,overpaying^underpaying
greenery^machinery(0)^plenary(1)^scenery,machinery(0)
abiola^andriola^ariola^arriola^facciola^fiola^garagiola(0)^garagiola(1)^gaxiola^guardiola^labriola^mendiola^mineola^oriola^osceola(0)^osceola(1)^priola^triola^viola^viola,abiola^andriola^ariola^arriola^facciola^gaxiola^guardiola^labriola^mendiola^mineola^oriola^osceola(0)^osceola(1)
diminishes^finishes,diminishes
argosystems^biosystems^ecosystems^microsystems',argosystems^biosystems^ecosystems^microsystems'
self-subsistence^subsistence,self-subsistence
automatics^dramatics^mathematics^systematics^telematics,automatics^mathematics^systematics^telematics
discoveries^discovery's(0)^recoveries^recovery's(0),discoveries^discovery's(0)^recoveries^recovery's(0)
activity(0)^captivity^conductivity^creativity^exclusivity^festivity^insensitivity^nativity^negativity^proclivity^productivity(0)^progressivity^radioactivity(0)^radioactivity(1)^reactivity^relativity^selectivity^superconductivity,activity(0)^captivity^festivity^nativity^proclivity
embraceable^erasable(0)^irreplaceable^replaceable^traceable^untraceable,embraceable^erasable(0)^replaceable^untraceable
orangutan's^orangutans^orangutan's^orangutans,orangutan's^orangutans^orangutan's^orangutans
disobedience(0)^disobedience(1)^expedience^obedience,expedience^obedience
cartagena^neutrogena,cartagena^neutrogena
colombians^columbians,colombians^columbians
ardella^cardella^gambardella^gardella^nardella^sardella,gambardella
commemorate^emirate(1),commemorate
addidases^addidas's^adidas's,addidases^addidas's^adidas's
incorporate^reincorporate,incorporate
fortunato(0)^fortunato(1),fortunato(0)^fortunato(1)
ciaravino^davino^gravino^savino,ciaravino
devaluations^evaluations(0)^evaluations(1)^fluctuations^graduations(0)^insinuations^revaluations^situation's^situations^valuations,fluctuations^graduations(0)^situation's^situations^valuations
constitution's^constitutions^institution's^institutions^institutions',constitution's^constitutions^institution's^institutions^institutions'
banasiak^ignasiak^rosiak^stasiak,banasiak^ignasiak
algeria^assyria^bacteria^cafeteria^cerveceria^criteria^diphtheria^elyria^gaviria^iberia^liberia^listeria^nigeria^siberia^syria,algeria^assyria^bacteria^criteria^diphtheria^elyria^gaviria^iberia^liberia^listeria^nigeria^siberia
intolerance^tolerance,intolerance
acropolis^heliopolis^megalopolis^metropolis^necropolis^papadopoulos(0)^papadopoulos(1)^stephanopoulos^stephanopoulos',acropolis^metropolis^necropolis
counteracted^overacted(0),counteracted^overacted(0)
remarkably(0)^remarkably(1),remarkably(0)^remarkably(1)
auditory^territory,auditory^territory
civitello^militello,civitello^militello
chriptosporidium^cryptosporidium^idiom^iridium^nephridium^presidium,iridium^nephridium^presidium
frankenheimer^oppenheimer,frankenheimer^oppenheimer
arriaga^burciaga^paniagua,arriaga^burciaga^paniagua
interpret^misinterpret^reinterpret,misinterpret^reinterpret
antecedents(1)^precedents(0),antecedents(1)
bartolucci^bertolucci^colucci^paolucci,bartolucci^bertolucci^paolucci
capriotti^gigliotti^gugliotti^mariotti^mazziotti,capriotti^gigliotti^gugliotti^mariotti^mazziotti
chillingly^unwillingly^willingly,unwillingly
defeatism^elitism(1)^pietism,defeatism^elitism(1)
deprogramming^programing^programming^reprogramming,deprogramming^reprogramming
equestrian^pedestrian,equestrian^pedestrian
karoly^meserole^zarroli,meserole
angeles^evangelists(2)^evangelists(3)^port-angeles,evangelists(2)^evangelists(3)^port-angeles
orinoco^sonoco,orinoco
directionless(1)^directionless(2)^directionless(3),directionless(1)^directionless(2)^directionless(3)
absolution^aleutian^andalusian^counterrevolution(0)^counterrevolution(1)^devolution^dissolution^evolution(0)^evolution(1)^pollution^resolution^revolution^solution,absolution^andalusian^devolution^dissolution^evolution(0)^evolution(1)^resolution^revolution
affirmations^confirmations^transformations,affirmations^confirmations^transformations
evangelist(1)^evangelist(3),evangelist(1)^evangelist(3)
biomaterials^cereals^imperial's^materials^materials'^serials,imperial's^materials^materials'
entertainer's^entertainers^entertainer's^entertainers,entertainer's^entertainers^entertainer's^entertainers
bollenbacher^fehrenbacher^grossenbacher^mehlenbacher,bollenbacher^fehrenbacher^grossenbacher^mehlenbacher
misunderstood^understood,misunderstood
cafarelli^capparelli^cardarelli^carelli^chiarelli^gencarelli^lucarelli^pascarelli^pasquarelli^passarelli^pontarelli^saltarelli^santarelli^vecchiarelli,cafarelli^capparelli^cardarelli^chiarelli^gencarelli^lucarelli^pascarelli^pasquarelli^passarelli^pontarelli^saltarelli^santarelli
oppedisano^palmisano^pisano,palmisano
emmendorfer^kochendorfer,emmendorfer^kochendorfer
basketmaker^marketmaker,basketmaker^marketmaker
condominium^didinium^minium,didinium
anthea^dianthia^panthea,dianthia
egotistical^logistical^mystical^statistical,logistical^statistical
belaboring^laboring^neighboring,belaboring
antonio's^antonios,antonio's^antonios
admissible^immiscible^inadmissible(0)^inadmissible(1)^inexplicable^miscible(0)^permissible,admissible^immiscible^permissible
angelino(1)^armellino^bellino^marcelino^marcellino^pelino,angelino(1)^armellino^marcelino^marcellino
boardinghouses^clearinghouses^westinghouse's,boardinghouses^clearinghouses^westinghouse's
corrected(1)^directed(1)^redirected^resurrected^uncorrected,redirected^resurrected^uncorrected
matsumura^okumura,matsumura^okumura
impressionists(1)^secessionists(1),impressionists(1)^secessionists(1)
desecrated(0)^desecrated(1),desecrated(0)^desecrated(1)
inheritor^meritor(0),inheritor
angelica(0)^angelika^celica^velika,angelica(0)^angelika
elation^fibrillation^titillation,fibrillation^titillation
altercation^bifurcation(0)^bifurcation(1),altercation^bifurcation(0)^bifurcation(1)
commodity^oddity,commodity
abramowicz^adamowicz,abramowicz^adamowicz
inclusiveness(1)^intrusiveness,inclusiveness(1)^intrusiveness
giovanetti^giovannetti,giovanetti^giovannetti
palomita^tomita,palomita
imprudently^prudently,imprudently
lasersonics^personics,lasersonics
innocently^magnificently,innocently
candiotti's^capriati's,candiotti's^capriati's
brodowski^glodowski^paradowski^sadowski,paradowski
agostinelli^berardinelli^carpinelli^cassinelli^mancinelli^molinelli^pasquinelli^polsinelli^puccinelli^rondinelli,carpinelli^cassinelli^mancinelli^molinelli^pasquinelli^polsinelli^puccinelli^rondinelli
unwarranted^warranted,unwarranted
acrobatics^aerobatics,acrobatics^aerobatics
cardiopulmonary^cautionary^centenary^concessionary^confectionary^confectionery^contractionary^coronary^counterrevolutionary(0)^counterrevolutionary(1)^deflationary^dictionary^disciplinary^discretionary^disinflationary^diversionary(0)^diversionary(1)^evolutionary(0)^evolutionary(1)^evolutionary(2)^evolutionary(3)^exclusionary^expansionary(0)^expansionary(1)^expeditionary^extraordinary(0)^extraordinary(1)^functionary^illusionary^imaginary^inflationary^interdisciplinary^luminary^mercenary^missionary^noninflationary^ordinary^precautionary^preliminary(0)^preliminary(1)^probationary^pulmonary^reactionary^recessionary^retrocessionary^revolutionary^seminary^stationary^stationery^urinary^veterinary^visionary,cautionary^centenary^coronary^dictionary^functionary^luminary^mercenary^missionary^ordinary^pulmonary^seminary^stationary^stationery^urinary^veterinary^visionary
ambrogio^boggio,ambrogio
anthropomorphism^dimorphism^dwarfism^isomorphism^polymorphism(0),dimorphism
dominance^predominance^prominence,predominance
alatorre^delatorre^hattori^latorre^liberatore^pescatore^salvatori^senatore^serratore^tornatore,alatorre^delatorre^pescatore^salvatori^senatore^serratore^tornatore
adolescent(0)^convalescent^obsolescent,adolescent(0)^convalescent^obsolescent
discriminates^eliminates,discriminates^eliminates
bracamonte^bustamante^demonte^diamante,bracamonte^bustamante^diamante
darosa^delarosa^larosa,delarosa
hesitated^incapacitated^levitated^precipitated^resuscitated,hesitated^levitated
emphysema^rozema,emphysema
britannica^danica^finmeccanica,britannica
counterfeiting(0)^counterfeiting(1),counterfeiting(0)^counterfeiting(1)
disregarding^regarding(1),disregarding
exacerbating^masterbating^masturbating,masterbating^masturbating
lamartina^martina,lamartina
epidermal^mesodermal,epidermal^mesodermal
animations^approximations^estimations^exclamations^intimations^proclamations^summations,animations^estimations^exclamations^intimations^proclamations
countermeasures(0)^countermeasures(1),countermeasures(0)^countermeasures(1)
calderaro^ferraro,calderaro
caligiuri^irimajiri,caligiuri
allowance^disallowance^reallowance,disallowance^reallowance
machiavelli(0)^machiavelli(1)^machivelli,machiavelli(1)^machivelli
isadore(0)^salvadore^varnadore,isadore(0)^salvadore^varnadore
ishimura^tanimura^uemura^yoshimura,ishimura^tanimura^uemura^yoshimura
accusatory^aleatory^ambulatory^anticipatory^articulatory^celebratory^circulatory^compensatory^conciliatory(0)^conciliatory(1)^confirmatory^confiscatory^congratulatory^conservatory^contributory^declaratory^defamatory^depilatory^depository^deregulatory^derogatory^dilatory^discriminatory^dormitory^excretory^exculpatory^expiratory^explanatory^exploratory^hallucinatory^incantatory^inflammatory^inhibitory^interrogatory^investigatory^laboratory^laudatory^lavatory^mandatory^migratory^nondiscriminatory^obligatory^observatory^oratory^oscillatory^participatory^predatory^preparatory(0)^preparatory(1)^prohibitory^purgatory^reformatory^regulatory^repository^respiratory^retaliatory^revelatory^signatory^statutory^transitory,dilatory^dormitory^excretory^laboratory^laudatory^lavatory^mandatory^migratory^oratory^predatory^preparatory(1)^purgatory^signatory^statutory^transitory
gerrymandering^meandering^pandering^philandering(0)^philandering(1)^slandering,meandering^philandering(0)^philandering(1)
mcaleese's(1)^police's^polices^raleses,mcaleese's(1)
linoleum^petroleum,linoleum^petroleum
karenina(0)^zenina,karenina(0)
jasinowski^kalinoski^malinoski,jasinowski^kalinoski^malinoski
manganello^romanello,manganello^romanello
evacuee(0)^evacuee(1)^kakuei,evacuee(0)^evacuee(1)
gentlewoman's(0)^gentlewoman's(1),gentlewoman's(0)^gentlewoman's(1)
curious^furious^injurious^murias^spurious(0),injurious
fraternity(1)^maternity^paternity,fraternity(1)^maternity^paternity
diloreto^loreto^loretto^moretto,diloreto
moldavian(1)^yugoslavian,moldavian(1)
messianic^oceanic^transoceanic,messianic^oceanic
animator^delamater,animator^delamater
acidified^dehumidified^solidified,acidified^solidified
dalesio^delisio^desio^mauricio,dalesio^delisio^mauricio
mercifully(0)^pitifully(0),mercifully(0)^pitifully(0)
excellently^virulently,excellently^virulently
eventual(0)^eventual(1),eventual(0)^eventual(1)
predicament(0)^predicament(1),predicament(0)^predicament(1)
beligerent^belligerent^refrigerant,beligerent^belligerent^refrigerant
innovations(1)^ovations,innovations(1)
evangelize(0)^evangelize(1),evangelize(0)^evangelize(1)
articulate(0)^matriculate,articulate(0)^matriculate
rendering^surrendering^tendering,surrendering
alleghenies(1)^allegheny's(1),alleghenies(1)^allegheny's(1)
interviewee(0)^interviewee(1),interviewee(0)^interviewee(1)
escambia^gambia^senegambia^zambia,escambia
cambodians^custodians,cambodians^custodians
decongestant(0)^decongestant(1),decongestant(0)^decongestant(1)
amorous^glamorous^tetramerous^unglamorous,tetramerous^unglamorous
contingency^stringency,contingency
espinosa^spinoza,espinosa
receivership(0)^receivership(1),receivership(0)^receivership(1)
activism^collectivism^conservativism^nativism^negativism^positivism^recidivism^relativism,activism^nativism
camarena(1)^eirena^urena^verena,camarena(1)
anticipation(0)^anticipation(1)^constipation^emancipation^occupation^participation^preoccupation,constipation^occupation
interfering(0)^interfering(1),interfering(0)^interfering(1)
asymmetrical^geometrical^metrical^obstetrical^symmetrical,obstetrical^symmetrical
campanelli^giovanelli^paganelli^racanelli^romanelli^stefanelli^vannelli,campanelli^giovanelli^paganelli^racanelli^romanelli^stefanelli
alessandra^d'alessandra,alessandra^d'alessandra
catolica^cattolica,catolica^cattolica
adverbial^proverbial,adverbial^proverbial
golaszewski^januszewski^jaroszewski^klimaszewski^kraszewski^kruszewski^lukaszewski^matuszewski^staszewski^tomaszewski,golaszewski^januszewski^jaroszewski^klimaszewski^lukaszewski^matuszewski^tomaszewski
divisible^invisible^visible,divisible^invisible
jacobean^maccabean^plebeian,jacobean^maccabean
aerien^agrarian^authoritarian^bagdasarian^barbarian^bavarian^berrian^berrien^bilzerian^bulgarian^carrian^carrion^centenarian^clarion^contrarian^darien^disciplinarian^egalitarian^eskandarian^humanitarian(0)^humanitarian(1)^hungarian^kasparian^kazarian^kerien^lauretarian^libertarian^librarian^magarian^majoritarian^marian^marion^markarian^merion^najarian^nazarian^nonsectarian^octogenarian^ovarian^parliamentarian^planarian^proletarian^sectarian^seminarian^septuagenarian^skenderian^terrien^totalitarian^unitarian^utilitarian^varian^vegetarian^veterinarian^veterinarian^wagnerian^wagnerian^zakarian,agrarian^barbarian^bavarian^bilzerian^bulgarian^contrarian^hungarian^kasparian^kazarian^librarian^magarian^markarian^najarian^nazarian^ovarian^planarian^sectarian^skenderian^wagnerian^wagnerian^zakarian
elementary(2)^supplementary(3),elementary(2)^supplementary(3)
mcanally^mcanelly^mcannally,mcanally^mcanelly^mcannally
anastasio(0)^anastasio(1)^attanasio^deblasio^dibiasio^diblasio^distasio^gervasio^ignacio^ocasio^stasio,deblasio^diblasio^distasio^gervasio^ignacio^ocasio
aberration^acceleration^admiration^adoration^adulteration^agglomeration^alteration^amelioration^aspiration^cogeneration^collaboration^coloration^commemoration^confederation^configuration^conglomeration^consideration^cooperation(0)^cooperation(1)^cooperation(2)^corp^corp.^corp^corp.^corporation^corroboration^deceleration^declaration^decoration^degeneration^deliberation^desperation(0)^discoloration^elaboration^enumeration^evaporation(0)^evaporation(1)^exaggeration^exasperation^exhilaration^exoneration^expiration^exploration(0)^federation^figuration^generation^horatian^inauguration^incarceration^incorporation^inspiration^intercorporation^laceration^liberation^maturation(0)^miseration^moderation^nonproliferation^obliteration^operation^perforation^perspiration^preparation^proliferation^reconfiguration^reconsideration^recuperation^redecoration^refrigeration^regeneration^reincorporation^reinvigoration^reiteration^remuneration^reparation^respiration^restoration^reverberation^saturation^separation^toleration^ulceration^veneration,aberration^admiration^adoration^alteration^aspiration^coloration^cooperation(1)^cooperation(2)^corp^corp.^corp^corp.^corporation^declaration^decoration^desperation(0)^expiration^exploration(0)^federation^figuration^generation^inspiration^laceration^liberation^maturation(0)^miseration^moderation^operation^perforation^perspiration^preparation^reparation^respiration^restoration^saturation^separation^toleration^ulceration^veneration
barthelemy^bellamy^bellomy,barthelemy
multivision^revision,multivision
accrediting^crediting^discrediting^editing(0),accrediting^discrediting
communicate^excommunicate^miscommunicate,communicate
amphibians^gibian's^libyans,amphibians
demandingly^outstandingly,demandingly^outstandingly
argumentation^augmentation^documentation(0)^documentation(1)^implementation^indentation^instrumentation^misrepresentation^orientation^ornamentation^ostentation^regimentation^representation,augmentation^indentation^ostentation
calculate^miscalculate^recalculate,miscalculate^recalculate
advertising^amortizing,advertising^amortizing
comparisons^saracens,comparisons
angelina^bellina^emelina^evelina^marcellina^melina^nelina^pamelina^zelina,angelina^emelina^evelina^marcellina^pamelina
contestable^digestible^investable^suggestible,contestable^digestible^investable^suggestible
aliases^arias's,aliases^arias's
felgenhauer^moldenhauer^mollenhauer,felgenhauer^moldenhauer^mollenhauer
conspiratorially(0)^editorially^industrially^kenealy^materially^perennially^radially^territorially,kenealy^radially
federalists(0)^generalists(0)^naturalists(0),federalists(0)^generalists(0)^naturalists(0)
interchanges(0)^interchanges(1),interchanges(0)^interchanges(1)
irrelevant^relevant,irrelevant
banality^bestiality^brutality(1)^centrality^collegiality^conditionality^constitutionality^criminality^cyclicality^eventuality(0)^eventuality(1)^fatality(1)^functionality^heterosexuality^illegality^immorality^immortality^impartiality^individuality^informality^instrumentality^materiality^mentality(1)^mutuality^nationality(1)^originality^personality^plurality^principality^proportionality^punctuality^rationality^seasonality(1)^sentimentality(0)^sentimentality(1)^speciality^technicality^venality,banality^bestiality^brutality(1)^centrality^fatality(1)^mentality(1)^plurality^venality
calero^mescalero^valero,mescalero
instantiates^substantiates(1),instantiates^substantiates(1)
berlascone^berlusconi,berlascone^berlusconi
benvenuto^carotenuto^venuto,benvenuto
binary^finery^refinery^whinery^whinery^winery,refinery
coprocessors^microprocessors^processor's^processors,coprocessors
amarillo^barillo^carrillo^kurylo^perillo,amarillo
audia^claudia^sabaudia^saudia(0),sabaudia
entourages(1)^maharaja's^mirages,entourages(1)^maharaja's
mcenerney^mcinerney,mcenerney^mcinerney
grochowski^malachowski^stachowski^wachowski,malachowski
colorado's(0)^desperadoes^eldorado's,colorado's(0)^desperadoes^eldorado's
examiners^examiners',examiners^examiners'
hemorrhaging^leveraging(1),hemorrhaging^leveraging(1)
yasutaka^yutaka,yasutaka
decarolis(0)^federalists(1)^generalists(2)^naturalists(2),decarolis(0)^federalists(1)^generalists(2)^naturalists(2)
asencio^atencio^fulgencio^provencio^vicencio^villavicencio,asencio^atencio^fulgencio^provencio^vicencio
homogenous^nitrogenous,homogenous^nitrogenous
architecture's^architectures,architecture's^architectures
gitano^malfitano^scicchitano,malfitano^scicchitano
conception^misconception^preconception,misconception^preconception
criminalists(2)^internationalists(2)^internationalists(3)^nationalists(2),criminalists(2)^nationalists(2)
angiomedics^electromedics^isomedix^isomedix's(1),isomedix^isomedix's(1)
annuities^gratuities,annuities^gratuities
copulate^depopulate^overpopulate^populate,depopulate
conflagration^disintegration(0)^disintegration(1)^emigration^immigration^integration(0)^integration(1),conflagration^emigration^immigration^integration(0)^integration(1)
lillehamer's^lillehammer's,lillehamer's^lillehammer's
wm^wm,wm^wm
delegate(1)^mcelligott^superdelegate,mcelligott
initiate^officiate,initiate^officiate
ashkenazi^eskenazi(1),ashkenazi^eskenazi(1)
coletta^colletta^joletta^loleta^noleta^violeta^violeta^violetta^voleta,violeta^violeta^violetta
alkaloidal^colloidal,alkaloidal
precipitous^serendipitous,precipitous
antagonists(0)^protagonists(0),antagonists(0)^protagonists(0)
majordomo^perdomo,majordomo
aggression^nonaggression^progression^regression,nonaggression
dority^inferiority^seniority^superiority,seniority
criminalized^denationalized^fictionalized^institutionalized^internationalized(0)^internationalized(1)^marginalized^nationalized(0)^personalized^professionalized^rationalized^regionalized,criminalized^fictionalized^marginalized^nationalized(0)^personalized^rationalized^regionalized
guadalajara(0)^guadalajara(1)^kashiwahara,guadalajara(1)
