diguglielmo^guglielmo,diguglielmo
antonio^colantonio^cotroneo^dantonio^diantonio^marcantonio^petronio^pomponio,colantonio^diantonio^marcantonio
anastasio(0)^anastasio(1)^attanasio^deblasio^dibiasio^diblasio^distasio^gervasio^ignacio^ocasio^stasio,anastasio(0)^anastasio(1)^attanasio^dibiasio
alliterative(1)^collaborative(0)^commemorative(1)^cooperative^deliberative(0)^iterative,alliterative(1)^collaborative(0)^commemorative(1)^cooperative^deliberative(0)
capitalized^hospitalized^recapitalized^uncapitalized,recapitalized^uncapitalized
petrovietnam^vietnam,petrovietnam
annually^conceptually^continually(0)^contractually^factually^gradually(0)^habitually(0)^individually(0)^intellectually(0)^intellectually(2)^manually^mutually^perpetually^semiannually(0)^semiannually(1)^sexually,conceptually^continually(0)^contractually^habitually(0)^perpetually
criminalize^deinstitutionalize^denationalize^depersonalize(0)^fictionalize^institutionalize^internationalize(0)^internationalize(1)^marginalize^nationalize(0)^personalize^professionalize^rationalize^regionalize^renationalize,denationalize^depersonalize(0)^professionalize^renationalize
disappointingly(0)^pointingly,disappointingly(0)
disingenuous^ingenuous^strenuous,disingenuous
actmedia^encyclopaedia(0)^encyclopaedia(1)^encyclopedia(0)^encyclopedia(1)^expedia^intermedia^macromedia^media^metromedia^multimedia(0)^multimedia(1)^telemedia^transmedia^unimedia,intermedia^macromedia^metromedia^multimedia(0)^multimedia(1)^telemedia^unimedia
albania's^lithuania's^lusitania's^lusitanias^romania's^tanzania's(0),lithuania's^lusitania's^lusitanias
enterococcus^staphylococcus^streptococcus,enterococcus^staphylococcus
administering^registering(0),administering
auditoriums^moratoriums,auditoriums^moratoriums
echinacea^iglesia^pharmacia^plescia,echinacea
gestation^manifestation^molestation^protestation,manifestation
admissible^immiscible^inadmissible(0)^inadmissible(1)^inexplicable^miscible(0)^permissible,inadmissible(0)^inadmissible(1)^inexplicable
boguslavskaya^zaslavskaya,boguslavskaya
anatolian^holian^holien^mongolian(0)^napoleon(0),anatolian
apologizing^strategizing,apologizing
aquarius^gregarious^hilarious^marius^nefarious^precarious^stradivarius^tavoulareas^various^vicarious,stradivarius^tavoulareas
protuberances(0)^protuberances(1),protuberances(0)^protuberances(1)
bollettieri^palmieri^pierie^ranieri(0)^ranieri(1),bollettieri
diacritical^political(0),diacritical
animists(1)^magnanimous^pusillanimous^unanimous,pusillanimous
ecclesiastic^enthusiastic^unenthusiastic,ecclesiastic^enthusiastic
decriminalize^sensationalize,decriminalize^sensationalize
homeopathic^idiopathic,homeopathic^idiopathic
aeronautical(0)^aeronautical(1),aeronautical(0)^aeronautical(1)
animated(0)^approximated^consummated^estimated(0),approximated
coincidences^confidences^incidences^providence's,coincidences
billionaires^millionaire's^millionaires^multimillionaires(0)^multimillionaires(1),multimillionaires(0)^multimillionaires(1)
angulated^emasculated^modulated(0)^modulated(1),emasculated
champaign-urbana^urbana,champaign-urbana
keratotomy^pallidotomy,keratotomy^pallidotomy
aesthetically^alphabetically^apologetically^athletically^cosmetically^energetically^esthetically^genetically^hermetically(1)^hypothetically^magnetically(1)^parenthetically(1)^pathetically(1)^phonetically^poetically^sympathetically(1)^synthetically^theoretically(1),alphabetically^energetically^hypothetically^parenthetically(1)^sympathetically(1)^theoretically(1)
ability^acceptability^adaptability^admissibility^affordability^agility^amiability^applicability^availability(0)^capability^civility^combinability(0)^combinability(1)^compatibility^comprehensibility^debility^deductibility^docility^ductility^electability^feasibility^fertility(0)^flexibility^fragility^futility^hostility^inaccessibility^invisibility^irresponsibility^irritability^legibility^malleability^mobility(0)^nobility^overwhelmability(0)^overwhelmability(1)^palatability^possibility^probability^rehability(0)^rehability(1)^reliability^responsibility^senility^susceptibility^utility^versatility^viability^virility^volatility,capability^feasibility^flexibility^legibility^possibility^probability^rehability(0)^rehability(1)^versatility^viability^volatility
abdicating^adjudicating^dedicating^duplicating^fabricating^implicating^intoxicating^medicating^replicating^syndicating,adjudicating^intoxicating
calamia^lamia^macadamia^mesopotamia,macadamia
exacerbation^masterbation^masturbation^perturbation,exacerbation
radioactive^retroactive,radioactive
devaluing^revaluing^undervaluing^valuing,undervaluing
commentary^dysentery^fragmentary^involuntary^momentary^sedentary^voluntary,involuntary
arbitrarily^unnecessarily,arbitrarily
accumulating^annihilating^articulating^assimilating^calculating^circulating^coagulating^congratulating^correlating^deregulating^emulating^encapsulating^escalating^extrapolating^formulating^immolating^innoculating^insulating^isolating^manipulating^matriculating^mutilating^oscillating^overpopulating^percolating^populating^recalculating^regulating^simulating^speculating^stimulating^stipulating^tabulating^titillating^undulating^vacillating^ventilating^ventilating^violating,accumulating^annihilating^articulating^assimilating^coagulating^congratulating^deregulating^encapsulating^extrapolating^innoculating^manipulating^matriculating^recalculating
heterosporous^homosporous^prosperous,heterosporous
alexia^anorexia^dyslexia,anorexia
availabilities^disabilities(1)^disability(1)^facilities(1)^facility's^instabilities^liabilities(1)^sensibilities^vulnerabilities,disabilities(1)^disability(1)^instabilities^liabilities(1)^sensibilities
overproducer^producer,overproducer
altamirano^hirano,altamirano
aerien^agrarian^authoritarian^bagdasarian^barbarian^bavarian^berrian^berrien^bilzerian^bulgarian^carrian^carrion^centenarian^clarion^contrarian^darien^disciplinarian^egalitarian^eskandarian^humanitarian(0)^humanitarian(1)^hungarian^kasparian^kazarian^kerien^lauretarian^libertarian^librarian^magarian^majoritarian^marian^marion^markarian^merion^najarian^nazarian^nonsectarian^octogenarian^ovarian^parliamentarian^planarian^proletarian^sectarian^seminarian^septuagenarian^skenderian^terrien^totalitarian^unitarian^utilitarian^varian^vegetarian^veterinarian^veterinarian^wagnerian^wagnerian^zakarian,bagdasarian^centenarian^eskandarian^lauretarian^libertarian^nonsectarian^proletarian^seminarian^unitarian^vegetarian
arianna's^briana's(0)^brianna's^indiana's^louisiana's^piano's^pianos^piano's^pianos,louisiana's
aviano's^feliciano's(0)^feliciano's(1),feliciano's(0)^feliciano's(1)
cosmology^necrology^opthalmology^rheology^scatology^thanatology^topology,opthalmology^thanatology
internationally(1)^internationally(3)^irrationally(1)^nationally(1)^rationally(1),internationally(1)^internationally(3)
abyssinian^apollinian^argentinian^augustinian^carolinian(0)^carolinian(1)^carthaginian^darwinian^finian^flaminian^palestinian^shahinian,apollinian^argentinian^augustinian^carolinian(0)^carolinian(1)^carthaginian^palestinian
preventatives^representatives(0)^representatives(1),representatives(0)^representatives(1)
chiaramonte^tramonte,chiaramonte
deleterious^delirious^imperious^mysterious^serious,deleterious
additionally(0)^conditionally(0)^congressionally(0)^constitutionally^conventionally^criminally^diagonally^educationally(0)^educationally(2)^exceptionally(0)^fractionally(0)^functionally(0)^generationally^institutionally(0)^intentionally^internationally(0)^internationally(2)^irrationally(0)^marginally^medicinally^nationally(0)^nominally^nutritionally(0)^occasionally(0)^operationally(0)^originally(0)^personally(0)^phenomenally^professionally(0)^proportionally(0)^provisionally(0)^rationally(0)^regionally^rotationally^seasonally(0)^terminally^traditionally(0)^unconditionally(0)^unconstitutionally(0),additionally(0)^conditionally(0)^congressionally(0)^conventionally^diagonally^exceptionally(0)^intentionally^irrationally(0)^medicinally^nutritionally(0)^occasionally(0)^originally(0)^phenomenally^professionally(0)^proportionally(0)^provisionally(0)^rotationally^traditionally(0)
demilitarize^militarize,demilitarize
chemotherapy^hydrotherapy^immunotherapy^psychotherapy^therapy,chemotherapy^hydrotherapy^psychotherapy
cultivation^inactivation^univation,inactivation
christianity's^humanities(0)^humanities(1)^humanity's(0)^humanity's(1),christianity's
depopulation(0)^depopulation(1),depopulation(0)^depopulation(1)
exacerbated(0)^masterbated,exacerbated(0)
compartmentalized^departmentalized(0),compartmentalized^departmentalized(0)
aerodynamics^dynamics^dynamics'(1)^electrodynamics^hemodynamics,aerodynamics^hemodynamics
indianians^louisianians,indianians
coordinators^detonators^exterminators^impersonators^originators^procrastinators,coordinators^exterminators^impersonators^originators^procrastinators
allocators^applicators^communicators^educators(0)^indicators^pontificaters,communicators^pontificaters
coordinate(0)^insubordinate(1)^subordinate(1),insubordinate(1)
lineal^matrilineal^patrilineal,matrilineal^patrilineal
institutionally(1)^unconstitutionally(1),institutionally(1)
advertorial^ambassadorial^arboreal^conspiratorial^correale^curatorial^dictatorial^directorial(0)^directorial(1)^directorial(2)^directorial(3)^editorial^equatorial^extraterritorial^flonorial^gubernatorial^immemorial^janitorial^memorial^morial^nomenclatorial^pictorial^professorial^prosecutorial^raptorial^reportorial^sartorial^senatorial^territorial^tutorial,advertorial^curatorial^dictatorial^directorial(0)^directorial(1)^directorial(2)^directorial(3)^editorial^equatorial^immemorial^janitorial^professorial^reportorial^senatorial^territorial
actuarial^adversarial^aerial^ariel^burial^malarial^mariel^secretarial,actuarial^adversarial^secretarial
antireformers(0)^antireformers(1)^reformers^reformers',antireformers(0)^antireformers(1)
corrigible^eligible(0)^incorrigible^intelligible^knowledgeable^negligible(0)^unintelligible,incorrigible^intelligible
algeria^assyria^bacteria^cafeteria^cerveceria^criteria^diphtheria^elyria^gaviria^iberia^liberia^listeria^nigeria^siberia^syria,cafeteria^cerveceria
internationalized(2)^nationalized(1),internationalized(2)
antioxidant^oxidant,antioxidant
misrecognizing^recognizing,misrecognizing
counterbalancing(0)^counterbalancing(1),counterbalancing(0)^counterbalancing(1)
egomaniac^kleptomaniac^maniac^megalomaniac^nymphomaniac(0)^nymphomaniac(1),egomaniac^kleptomaniac^nymphomaniac(0)^nymphomaniac(1)
alliteration^bancorporation^deterioration^incineration,alliteration^bancorporation^incineration
machiavelli's(0)^machiavelli's(1),machiavelli's(0)
confessionals^nonprofessionals^professionals^professionals',nonprofessionals
french-polynesia^polynesia,french-polynesia
characterizes^polymerizes,characterizes^polymerizes
counterchallenges(0)^counterchallenges(1),counterchallenges(0)^counterchallenges(1)
connected(1)^disconnected^interconnected^reconnected^unconnected,interconnected
insecurities^maturities,insecurities
deficiency^efficiency^immunodeficiency^inefficiency^proficiency^self-sufficiency^sufficiency,inefficiency^self-sufficiency
autolatina^bettina^catena^latina(1)^patina,autolatina
analytic^catalytic^electrolytic^hemolytic^paralytic^psychoanalytic,electrolytic
monosaccharide^polysaccharide(0)^polysaccharide(1),monosaccharide^polysaccharide(0)^polysaccharide(1)
conventional^dimensional^intentional^unconventional^unintentional,unconventional^unintentional
accelerometer^anemometer^densitometer^dynamometer^fluorometer(0)^fluorometer(1)^goniometer^hydrometer^hygrometer^interferometer^kilometer(0)^magnetometer^micrometer^odometer^spectrometer^speedometer^thermometer,anemometer^densitometer^dynamometer^goniometer^magnetometer
adonia^amazonia^ansonia^antonia^caledonia^colonia^cydonia^diaphonia^donia^estonia^gastonia^gonia^harmonia^idonia^latonia^macedonia(0)^macedonia(1)^madonia^new-caledonia^omonia(0)^patagonia^petronia^philharmonia^rondonia^sidonia^sinfonia^slavonia(0)^slovonia(0)^sophronia^tonia^vernonia^vidonia,amazonia^caledonia^diaphonia^macedonia(0)^macedonia(1)^patagonia^philharmonia
bollapragada^katragadda,bollapragada
accountable(0)^countable^insurmountable^unaccountable,insurmountable^unaccountable
inelastic^interscholastic^scholastic,interscholastic
ancillary^capillary^constabulary^corollary^epistolary^formulary^vocabulary,constabulary^epistolary^vocabulary
misrepresented(0)^represented(1)^underrepresented^unrepresented,misrepresented(0)^unrepresented
amplifying^certifying^clarifying^classifying^codifying^disqualifying^diversifying(0)^diversifying(1)^edifying^electrifying^exemplifying^falsifying^glorifying^gratifying^horrifying^identifying(0)^identifying(1)^intensifying^justifying^magnifying^misidentifying(0)^misidentifying(1)^modifying^mummifying^mystifying^notifying^nullifying^personifying^purifying^qualifying^ratifying^recertifying^rectifying^signifying^simplifying^solidifying^specifying^speechifying^stultifying^terrifying^testifying^unifying^verifying,disqualifying^diversifying(0)^diversifying(1)^electrifying^exemplifying^identifying(0)^identifying(1)^intensifying^personifying^recertifying^solidifying
fregia^hemiplegia(0)^paraplegia,hemiplegia(0)^paraplegia
counterinsurgency(0)^counterinsurgency(1)^emergency(0)^insurgency^nonemergency^resurgency(0)^resurgency(1)^urgency,nonemergency
misrepresent^overrepresent^represent(0),overrepresent
atheism(1)^cronyism^dandyism^judaism(1)^mccarthyism^monotheism^polytheism,mccarthyism^monotheism^polytheism
bonifacio^horacio^palacio^sparacio,bonifacio
armenian^athenian^beethovenian^fenian^slovenian^tyrrhenian,beethovenian
chronically(1)^electronically(1)^ironically^sardonically(1),electronically(1)
demarcation^disembarkation^embarkation,disembarkation
anesthesiologists(1)^apologists(2)^biologists(2)^endocrinologists(2)^entomologists(2)^gynecologists(2)^neurologists(2)^pathologists(2)^psychologists(2)^seismologists(2)^zoologists^zoologists,entomologists(2)^gynecologists(2)
accelerometers^kilometers(0)^magnetometers^micrometers^odometers^thermometers,magnetometers
attrition^geriatrician^obstetrician^patrician^pediatrician,geriatrician^pediatrician
analyzes^brutalizes^capitalizes^crystallizes^demobilizes^departmentalizes^equalizes^fertilizes^finalizes^formalizes^idolizes^immortalizes^institutionalizes^liberalizes(0)^liberalizes(1)^marginalizes^materializes^monopolizes^nationalizes(0)^nationalizes(1)^naturalizes(0)^naturalizes(1)^neutralizes^normalizes^paralyzes^penalizes(0)^penalizes(1)^personalizes^pluralizes^realizes(0)^specializes(1)^stabilizes(1)^sterilizes^symbolizes(1)^tantalizes(0)^trivializes(0)^trivializes(1)^utilizes,capitalizes^demobilizes^immortalizes^liberalizes(0)^marginalizes^monopolizes^nationalizes(0)^naturalizes(0)^personalizes^trivializes(0)
aviaries^beneficiaries^beneficiary's^fiduciares(1)^fiduciaries^intermediaries(0)^intermediaries(1)^subsidiaries^subsidiaries'^subsidiary's,fiduciares(1)^fiduciaries^subsidiaries^subsidiaries'^subsidiary's
antidepressant^depressant,antidepressant
transcontinental's(2)^transcontinental's(3),transcontinental's(2)^transcontinental's(3)
capitalism's^dualisms^journalism's^liberalism's(0)^liberalism's(1)^metabolisms^surrealism's^surrealisms^surrealism's^surrealisms,capitalism's^liberalism's(0)^metabolisms^surrealism's^surrealisms^surrealism's^surrealisms
mononuclear^nonnuclear^nuclear^thermonuclear,mononuclear^thermonuclear
biochemistry^chemistry(0)^geochemistry,biochemistry^geochemistry
articulate(1)^inarticulate^particulate,inarticulate
curricular^extracurricular^particular(0)^particular(1)^perpendicular^testicular^vehicular,perpendicular
auctioneering^bioengineering^domineering^electioneering^engineering^imagineering^oceaneering^pioneering^reengineering,electioneering^imagineering^reengineering
antisubmarine(0)^antisubmarine(1)^submarine(0),antisubmarine(0)^antisubmarine(1)
americana's^americanas,americana's^americanas
chavarria^echavarria^larrea,echavarria
econometrics^geometrics,econometrics
conformity^deformity^enormity(0)^enormity(1)^nonconformity^uniformity,nonconformity^uniformity
adelphia^arkadelphia^delphia^philadelphia,arkadelphia^philadelphia
anacostia^ostia,anacostia
confidential(1)^nonresidential(1)^presidential(0)^providential,nonresidential(1)
amazonian^andonian^apollonian^babylonian^bostonian^caledonian^devonian^draconian(0)^draconian(1)^estonian^gorgonian^houstonian(0)^houstonian(1)^jacksonian^jeffersonian^melkonian^newtonian^oregonian^patagonian^plutonian^simonian^smithsonian(0)^smithsonian(1)^usoniam^washingtonian^washingtonian,amazonian^apollonian^babylonian^caledonian^jeffersonian^oregonian^patagonian^washingtonian^washingtonian
manufacturers'^manufacturer's^manufacturers,manufacturers'^manufacturer's^manufacturers
antidepressants(0)^antidepressants(1)^depressants,antidepressants(0)^antidepressants(1)
counterproposals(0)^counterproposals(1),counterproposals(0)^counterproposals(1)
available^inhalable^salable^saleable^unassailable^unavailable^unsalable^unsaleable,unassailable^unavailable
aberration^acceleration^admiration^adoration^adulteration^agglomeration^alteration^amelioration^aspiration^cogeneration^collaboration^coloration^commemoration^confederation^configuration^conglomeration^consideration^cooperation(0)^cooperation(1)^cooperation(2)^corp^corp.^corp^corp.^corporation^corroboration^deceleration^declaration^decoration^degeneration^deliberation^desperation(0)^discoloration^elaboration^enumeration^evaporation(0)^evaporation(1)^exaggeration^exasperation^exhilaration^exoneration^expiration^exploration(0)^federation^figuration^generation^horatian^inauguration^incarceration^incorporation^inspiration^intercorporation^laceration^liberation^maturation(0)^miseration^moderation^nonproliferation^obliteration^operation^perforation^perspiration^preparation^proliferation^reconfiguration^reconsideration^recuperation^redecoration^refrigeration^regeneration^reincorporation^reinvigoration^reiteration^remuneration^reparation^respiration^restoration^reverberation^saturation^separation^toleration^ulceration^veneration,acceleration^adulteration^agglomeration^amelioration^cogeneration^collaboration^commemoration^confederation^configuration^conglomeration^consideration^cooperation(0)^corroboration^deceleration^degeneration^deliberation^discoloration^elaboration^enumeration^evaporation(0)^evaporation(1)^exaggeration^exasperation^exhilaration^exoneration^inauguration^incarceration^incorporation^obliteration^proliferation^recuperation^redecoration^refrigeration^regeneration^reiteration^remuneration^reverberation
instituting^reconstituting^substituting,reconstituting
antiballistic^ballistic^capitalistic^dualistic^fatalistic^feudalistic^idealistic^imperialistic^individualistic^jelisic^journalistic^legalistic^materialistic^monopolistic^moralistic^nationalistic(0)^nationalistic(1)^naturalistic(0)^naturalistic(1)^novelistic^paternalistic^pluralistic^pugilistic^realistic^ritualistic^sensationalistic^socialistic^surrealistic(1),antiballistic^capitalistic^idealistic^monopolistic^nationalistic(0)^naturalistic(0)^paternalistic^ritualistic^surrealistic(1)
amiable^enviable^invariable^irremediable^malleable^permeable^pitiable^unenviable^variable,invariable^unenviable
telecommuter's^telecommuters,telecommuter's^telecommuters
alimentary^complimentary^documentary(0)^documentary(2)^parliamentary(0)^rudimentary^sedimentary^supplementary(0)^testamentary,alimentary^complimentary^documentary(0)^documentary(2)^parliamentary(0)^rudimentary^sedimentary^supplementary(0)^testamentary
antibacterial^arterial^bacterial^biomaterial^cereal^ethereal^immaterial^imperial^managerial^material^serial^venereal,immaterial^managerial
biopharmacy^pharmacy,biopharmacy
adjudicated^advocated(1)^allocated^communicated^duplicated(1)^eradicated^extricated^indicated(1)^lubricated^misallocated^pontificated^predicated^prognosticated^reallocated^reciprocated^sophisticated(0)^suffocated^unallocated^uncomplicated^vindicated,adjudicated^communicated^eradicated^misallocated^pontificated^prognosticated^reallocated^reciprocated^sophisticated(0)^unallocated^uncomplicated
intelligently^negligently,intelligently
consolidations^liquidations,consolidations
micromanages^mismanages,micromanages
bophuthatswana^botswana,bophuthatswana
baio^cavataio^demaio(0)^dimaio,cavataio
scatological^seismological,scatological^seismological
abomination^alienation^antidiscrimination(0)^antidiscrimination(1)^assassination^combination^concatenation^contamination^coordination^coronation^culmination^decaffeination^decontamination^denomination^destination(0)^determination^detonation^discrimination^disinclination^dissemination^divination^domination^elimination^emanation^examination^explanation^extermination^fascination^germination^hallucination^hydrogenation^hyphenation^illumination^imagination^impersonation^inclination^incoordination^incrimination^indoctrination^insemination^insubordination^intonation^machination(0)^machination(1)^nomination^ordination^origination^pagination^pollination^predestination^procrastination^profanation^reexamination^rejuvenation^renomination^self-determination^subordination^termination^transillumination^vaccination,abomination^alienation^assassination^concatenation^contamination^coordination^decaffeination^denomination^determination^discrimination^disinclination^dissemination^elimination^examination^extermination^hallucination^hydrogenation^illumination^imagination^impersonation^incrimination^indoctrination^insemination^origination^predestination^procrastination^rejuvenation^renomination^subordination
misinterpreting^reinterpreting,misinterpreting^reinterpreting
barrio^candelario^cesario^daddario^delrosario^demario^dimario^ferrario^hilario^impresario^levario^mario^nazario^presario^rosario^vallario^vicario,candelario^delrosario^impresario
accentuating^evacuating(0)^evacuating(1)^fluctuating^graduating(0)^perpetuating,accentuating^evacuating(0)^evacuating(1)^perpetuating
bisiani^cipriani^cristiani(0)^cristiani(1)^damiani^fabiani^frediani^gianni(1)^giuliani^graziani^guiliani^ianni^mariani(0)^mastrianni^modigliani(0)^notarianni^ottaviani^satriani^sebastiani(0)^sirianni^spaziani^viani^viviani,modigliani(0)^notarianni^ottaviani^sebastiani(0)
nontransferable^transferable^transferrable,nontransferable
capitalizations^characterizations^civilizations^denationalizations^improvisations^liberalizations(0)^liberalizations(1)^organisations^organization's^rationalizations(0)^rationalizations(1)^reorganizations^sterilizations(1),civilizations^improvisations^liberalizations(1)^organisations^organization's^rationalizations(1)^sterilizations(1)
administration^registration,administration
activated(1)^captivated^cultivated(1)^deactivated^inactivated,deactivated^inactivated
diamagnetic^electromagnetic^ferromagnetic^geomagnetic^intermagnetic^magnetic^paramagnetic,diamagnetic^ferromagnetic^geomagnetic^intermagnetic^paramagnetic
aleria^imperia^oliveria^seria^tiberia^valeria,oliveria
achievable^believable^conceivable^inconceivable^receivable^unbelievable,inconceivable^unbelievable
agitated^annotated(1)^irritated^necessitated^palpitated,necessitated
anticipated(1)^dissipated^emancipated^participated(1)^syncopated^unanticipated,anticipated(1)^emancipated^participated(1)
anxiety^impropriety^notoriety^piety^propriety^sobriety^society^variety,impropriety^notoriety
transcontinental(0)^transcontinental(1),transcontinental(0)^transcontinental(1)
computer^microcomputer^minicomputer^supercomputer,microcomputer^minicomputer^supercomputer
denuclearized(0)^denuclearized(1),denuclearized(0)^denuclearized(1)
argentinians^augustinians^carolinians^finian's^palestinians'^palestinian's^palestinians,argentinians^augustinians^carolinians^palestinians'^palestinian's^palestinians
accelerating^collaborating^commemorating^cooperating^corroborating^decelerating^decorating^degenerating^deliberating^deteriorating^elaborating^evaporating(0)^evaporating(1)^exaggerating^exasperating^exhilarating^exonerating^generating^inaugurating^incarcerating^incinerating^incorporating^invigorating^liberating^moderating^nonoperating^obliterating^operating(0)^operating(1)^perforating^proliferating^recuperating(0)^recuperating(1)^redecorating^regenerating^reincorporating^reinvigorating^reiterating^reverberating(0)^reverberating(1)^saturating^separating^tolerating^venerating^vociferating,accelerating^collaborating^commemorating^cooperating^corroborating^decelerating^degenerating^deliberating^elaborating^evaporating(0)^evaporating(1)^exaggerating^exasperating^exhilarating^exonerating^inaugurating^incarcerating^incinerating^incorporating^invigorating^nonoperating^obliterating^proliferating^recuperating(0)^recuperating(1)^redecorating^regenerating^reiterating^reverberating(0)^reverberating(1)^vociferating
employment(1)^reemployment^underemployment^unemployment,underemployment
brancaccio^marinaccio^migliaccio,marinaccio^migliaccio
commercial^commerical^eurocommercial^noncommercial,eurocommercial
desantiago^iago^santiago,desantiago
superintendents^superintendent's^superintendents,superintendents^superintendent's^superintendents
finalist^semifinalist(0)^semifinalist(1)^semifinalist(2),semifinalist(0)^semifinalist(1)^semifinalist(2)
activity(1)^aggressivity^connectivity^expressivity^hyperactivity^inactivity^interactivity(0)^interactivity(1)^objectivity^oversensitivity^passivity^productivity(1)^receptivity^reflexivity^retroactivity^sensitivity^subjectivity,aggressivity^connectivity^expressivity^inactivity^objectivity^productivity(1)^receptivity^reflexivity^sensitivity^subjectivity
fundamentalists(2)^instrumentalists(2),fundamentalists(2)^instrumentalists(2)
estuaries^january's^obituaries^sanctuaries,obituaries
animosities^atrocities^curiosities^velocities,animosities^curiosities
indiscriminate^nondiscriminate,indiscriminate^nondiscriminate
acidify^dehumidify^solidify,dehumidify
algerian^assyrian^berberian^biospherian^criterion^derderian^hanoverian^hyperion^iberian^illyrian^liberian^nigerian^presbyterian(0)^presbyterian(1)^quirion^shakespearean^siberian^syrian^thraco-illyrian^valerian^zairian,biospherian^hanoverian^presbyterian(0)^presbyterian(1)
argyropoulos^raptopoulos,argyropoulos
botanically(0)^frantically(0)^frantically(2)^paradoxically(1)^practically(1)^unequivocally(0),botanically(0)
circumstantially(1)^financially(0)^financially(1)^financially(2)^substantially(0),circumstantially(1)
anticipating^dissipating^emancipating^participating,anticipating^emancipating^participating
actinidia^chlamydia(1)^lydia^numidia^nydia,actinidia
mississippian^rippeon,mississippian
analytically^critically(1)^geopolitically^politically(1)^uncritically(1),analytically
conservatorship^editorship^proprietorship,conservatorship^proprietorship
misrecognizes^recognizes(1),misrecognizes
academia^anemia^bohemia^bulemia^euphemia^femia^geremia^hypoglycemia^jeremia^leukemia^uremia,academia
gravitating^incapacitating^necessitating^resuscitating,necessitating^resuscitating
imponderables^miserables(0),imponderables
compartmentalize^departmentalize(0),compartmentalize^departmentalize(0)
competition's^competitions^dietitian's^dietitians^mathematicians^petitions^politician's^politicians^politicians'^repetitions^theoreticians,mathematicians^theoreticians
agriculturally(0)^architecturally(0)^behaviorally^bilaterally^contradictorily^culturally^federally(0)^generally(0)^liberally(0)^literally(0)^multilaterally(0)^multilaterally(1)^naturally(0)^peripherally(0)^procedurally(0)^structurally^temporally^viscerally,behaviorally^bilaterally^peripherally(0)^procedurally(0)
agostinelli^berardinelli^carpinelli^cassinelli^mancinelli^molinelli^pasquinelli^polsinelli^puccinelli^rondinelli,agostinelli^berardinelli
astrophotography^autobiography^bibliography^biography^choreography^chromatography^cinematography^crystallography^demography^echography^geography^hagiography^historiography^iconography^kaumography^lithography^mammography^oceanography^orthography^photography^phytogeography^polarography^pomography^pornography^radiography^topography^typography,bibliography^choreography^chromatography^crystallography^hagiography^iconography^oceanography^polarography^radiography
marielito^melito,marielito
annunziato^battiato^nunziato,annunziato
glorious^inglorious^laborious^meritorious^notorious^victorious,meritorious
antipersonell^personnel,antipersonell
barbarity(1)^celerity^clarity(0)^dexterity(0)^disparity^familiarity^geraghty^hilarity^irregularity^parity^peculiarity^polarity^popularity^posterity^prosperity^rarity(0)^regularity^similarity^sincerity^solidarity^temerity^unfamiliarity,familiarity^popularity^regularity^similarity^solidarity
angeles's^annapolis's^indianapolis's^minneapolis's,annapolis's
classical^neoclassical^semiclassical(0)^semiclassical(1)^semiclassical(2),neoclassical^semiclassical(0)^semiclassical(1)^semiclassical(2)
hemophiliac(0)^hemophiliac(1),hemophiliac(0)^hemophiliac(1)
spectacular^unspectacular^vernacular,unspectacular
agrochemicals^chemical's^chemicals^petrochemicals,agrochemicals^petrochemicals
international's^internationals^international's^multinationals(0)^multinationals(1),international's^internationals^international's^multinationals(0)^multinationals(1)
abolitionist^exhibitionist,abolitionist^exhibitionist
atypical^prototypical^stereotypical(0)^stereotypical(1)^typical(1)^untypical,prototypical
compensable^comprehensible^defensible^dispensable^indefensible^indispensable^insensible^ostensible^reprehensible^sensible,comprehensible^indefensible^indispensable^reprehensible
concessional^confessional^congressional^nonprofessional^obsessional^processional(0)^processional(1)^professional^unprofessional,nonprofessional^unprofessional
aciduria^furia^luria^manchuria,aciduria
unintentionally^unintentionally,unintentionally^unintentionally
customarily^extraordinarily^farrelly^merrily^militarily^momentarily^necessarily^ordinarily^primarily^secondarily^temporarily^voluntarily^warily^wearily,customarily^militarily^momentarily^necessarily^ordinarily^secondarily^temporarily^voluntarily
hyaluronic^respironic,hyaluronic
apologists(1)^biologists(1)^endocrinologists(1)^entomologists(1)^gynecologists(1)^neurologists(1)^pathologists(1)^psychologists(1)^seismologists(1),entomologists(1)^gynecologists(1)
concomitantly(1)^intermittently,concomitantly(1)^intermittently
continuation^devaluation(0)^devaluation(1)^discontinuation^evaluation(0)^evaluation(1)^fluctuation^graduation(0)^infatuation^insinuation^menstruation^overvaluation^punctuation^reevaluation^revaluation^self-perpetuation^situation^undervaluation^valuation,continuation^devaluation(0)^devaluation(1)^evaluation(0)^evaluation(1)^infatuation^insinuation^revaluation
administrators'^illustrators,administrators'
golembiewski^kaniewski(0)^korzeniewski(0)^okoniewski(0)^sypniewski(0)^wisniewski,golembiewski^korzeniewski(0)^okoniewski(0)
collateralized^federalized(0)^generalized(0)^liberalized(0)^naturalized(0),collateralized
irrelevancy^relevancy,irrelevancy
activism^collectivism^conservativism^nativism^negativism^positivism^recidivism^relativism,collectivism^negativism^positivism^recidivism^relativism
anniversary^cursory^nursery^ursery,anniversary
feodorovich^grigorovich,feodorovich
counterattacking(0)^counterattacking(1),counterattacking(0)^counterattacking(1)
documentaries(0)^documentaries(2),documentaries(0)^documentaries(2)
ambitiously^expeditiously^surreptitiously^suspiciously^viciously,expeditiously^surreptitiously
